standard_number,title,descriptive_title,year,id,source,detail_url,pdf_url
IS 10014 : Part 2 Amd. 1,IS 10014 : Part 2 Amd. 1 : 1983,IS 10014 : Part 2 Amd. 1 : 1983,1983,31703,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10014+%3a+Part+2+Amd.+1&id=31703,https://archive.org/search?query=title%3A%22IS%2010014%20%3A%20Part%202%20Amd.%201%22
IS 10014 : Part 2 Amd. 2,IS 10014 : Part 2 Amd. 2 : 1985,IS 10014 : Part 2 Amd. 2 : 1985,1985,31704,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10014+%3a+Part+2+Amd.+2&id=31704,https://archive.org/search?query=title%3A%22IS%2010014%20%3A%20Part%202%20Amd.%202%22
IS 10014 : Part 2 Amd. 3,IS 10014 : Part 2 Amd. 3 : 2000,IS 10014 : Part 2 Amd. 3 : 2000,2000,31705,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10014+%3a+Part+2+Amd.+3&id=31705,https://archive.org/search?query=title%3A%22IS%2010014%20%3A%20Part%202%20Amd.%203%22
IS 10015 : Part 1,IS 10015 : Part 1 : 1981,IS 10015 : Part 1 : 1981,1981,17940,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10015+%3a+Part+1&id=17940,https://archive.org/search?query=title%3A%22IS%2010015%20%3A%20Part%201%22
IS 10015 : Part 2,IS 10015 : Part 2 : 1989,IS 10015 : Part 2 : 1989,1989,17941,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10015+%3a+Part+2&id=17941,https://archive.org/search?query=title%3A%22IS%2010015%20%3A%20Part%202%22
IS 10015 : Part 3,IS 10015 : Part 3 : 1989,IS 10015 : Part 3 : 1989,1989,17942,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10015+%3a+Part+3&id=17942,https://archive.org/search?query=title%3A%22IS%2010015%20%3A%20Part%203%22
IS 10015 : Part 4,IS 10015 : Part 4 : 1982,IS 10015 : Part 4 : 1982,1982,17943,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10015+%3a+Part+4&id=17943,https://archive.org/search?query=title%3A%22IS%2010015%20%3A%20Part%204%22
IS 10015 : Part 5,IS 10015 : Part 5 : 1983,IS 10015 : Part 5 : 1983,1983,17944,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10015+%3a+Part+5&id=17944,https://archive.org/search?query=title%3A%22IS%2010015%20%3A%20Part%205%22
IS 10015 : Part 6,IS 10015 : Part 6 : 1983,IS 10015 : Part 6 : 1983,1983,17945,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10015+%3a+Part+6&id=17945,https://archive.org/search?query=title%3A%22IS%2010015%20%3A%20Part%206%22
IS 10015 : Part 7,IS 10015 : Part 7 : 1982,IS 10015 : Part 7 : 1982,1982,17946,Bureau of Indian Standards - e-Sale (standardsbis.bsbedge.com),https://standardsbis.bsbedge.com/BIS_SearchStandard.aspx?Standard_Number=IS+10015+%3a+Part+7&id=17946,https://archive.org/search?query=title%3A%22IS%2010015%20%3A%20Part%207%22
